case_id,date,channel,agent_name,team,product_category,survey_score,survey_comment,conversation_transcript,qa_notes,resolution_status,escalation_status,human_label,human_root_cause
C0026,2026-01-03,Chat,Agent A,Repair Voice,Gimbal,1,Poor,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Pending Backend,Escalated to Tier 2,Needs QA Validation,Insufficient Information
C0027,2026-01-20,Chat,Agent B,Repair Voice,Drone,2,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Unresolved,Escalated to Repair Center,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0028,2026-01-25,Email,Agent C,Repair Voice,Camera,1,I had to repeat myself,"Customer: This is my third contact. Agent: Let me check your previous case. The current agent handled the concern properly, but a previous promised callback was missed, causing continued dissatisfaction. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Previous Case Issue.,Unresolved,No Escalation,Mixed Accountability,Previous Case Issue
C0029,2026-01-04,Email,Agent C,Repair Voice,Drone,2,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The system did not generate a label due to an outage. The agent acknowledged the problem and escalated the case. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be System Issue.,Resolved,Escalated to Repair Center,Non-Agent-Driven DSAT,System Issue
C0030,2026-03-28,Voice,Agent B,Repair Voice,Gimbal,1,I had to repeat myself,"Customer: This is my third contact. Agent: Let me check your previous case. The customer was impacted by process delay and the current agent also did not clearly explain the escalation timeline. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Escalation Mishandling.,Escalated,Escalated to Repair Center,Mixed Accountability,Escalation Mishandling
C0031,2026-03-09,Voice,Agent C,NA Email,Gimbal,1,No stock available,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Resolved,Escalated to Tier 2,Non-Agent-Driven DSAT,Repair Delay
C0032,2026-03-11,Email,Agent C,Repair Voice,Online Store,2,Nobody took ownership,"Customer: This is my third contact. Agent: Let me check your previous case. The current agent handled the concern properly, but a previous promised callback was missed, causing continued dissatisfaction. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Previous Case Issue.,Pending Customer,Escalated to Repair Center,Mixed Accountability,Previous Case Issue
C0033,2026-03-10,Voice,Agent F,Repair Voice,Drone,1,Support process is confusing,"Customer: This is my third contact. Agent: Let me check your previous case. The customer was impacted by process delay and the current agent also did not clearly explain the escalation timeline. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Escalation Mishandling.,Pending Customer,Escalated to Policy Team,Mixed Accountability,Escalation Mishandling
C0034,2026-03-04,Voice,Agent B,NA Email,Gimbal,2,Very poor service,"Customer: I need help with my Battery issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Pending Backend,Escalated to Repair Center,Agent-Driven DSAT,Weak Probing
C0035,2026-02-14,Voice,Agent C,NA Email,Repair Service,2,Price is too high,"Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The agent explained that the warranty period had expired and offered the correct paid repair option, but the customer disagreed with the policy. Customer: I still do not agree with this outcome.",Agent followed process. Main driver appears to be Policy Limitation.,Resolved,Escalated to Repair Center,Non-Agent-Driven DSAT,Policy Limitation
C0036,2026-02-21,Email,Agent E,Repair Voice,Gimbal,1,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Escalated,Escalated to Tier 2,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0037,2026-01-07,Email,Agent A,Repair Voice,Drone,2,Bad support experience,"Customer: I need help with my Camera issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Escalated,Escalated to Tier 2,Agent-Driven DSAT,Weak Probing
C0038,2026-02-13,Email,Agent A,NA Chat,Repair Service,1,Agent did not help me,Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent transferred the customer without explaining the next step and did not summarize the issue. Customer: This is not helpful at all.,Potential handling issue observed: Poor Ownership.,Pending Customer,Escalated to Policy Team,Agent-Driven DSAT,Poor Ownership
C0039,2026-02-17,Voice,Agent A,NA Email,Battery,1,Agent did not help me,Customer: I need help with my Camera issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The customer repeatedly expressed frustration but the agent responded with generic scripted lines and did not acknowledge the inconvenience. Customer: This is not helpful at all.,Potential handling issue observed: Lack of Empathy.,Resolved,Escalated to Policy Team,Agent-Driven DSAT,Lack of Empathy
C0040,2026-01-09,Email,Agent A,NA Email,Battery,1,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The system did not generate a label due to an outage. The agent acknowledged the problem and escalated the case. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be System Issue.,Pending Backend,No Escalation,Non-Agent-Driven DSAT,System Issue
C0041,2026-02-09,Chat,Agent F,Repair Voice,Gimbal,2,Very poor service,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The customer repeatedly expressed frustration but the agent responded with generic scripted lines and did not acknowledge the inconvenience. Customer: This is not helpful at all.,Potential handling issue observed: Lack of Empathy.,Unresolved,No Escalation,Agent-Driven DSAT,Lack of Empathy
C0042,2026-02-01,Chat,Agent C,Repair Voice,Camera,1,Agent did not help me,"Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent advised the customer that a free replacement was available, but the policy does not support replacement for this scenario. Customer: This is not helpful at all.",Potential handling issue observed: Incorrect Information.,Pending Customer,Escalated to Policy Team,Agent-Driven DSAT,Incorrect Information
C0043,2026-03-11,Voice,Agent C,NA Email,Online Store,1,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Pending Customer,Escalated to Policy Team,Non-Agent-Driven DSAT,Pricing or Tariff Concern
C0044,2026-01-16,Chat,Agent D,NA Email,Battery,1,Still unresolved,"Customer: This is my third contact. Agent: Let me check your previous case. The current agent handled the concern properly, but a previous promised callback was missed, causing continued dissatisfaction. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Previous Case Issue.,Pending Customer,Escalated to Repair Center,Mixed Accountability,Previous Case Issue
C0045,2026-02-19,Email,Agent D,Repair Voice,Drone,2,Agent did not help me,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent responded in a dismissive manner and closed the interaction quickly. Customer: This is not helpful at all.,Potential handling issue observed: Unprofessional Tone.,Pending Backend,Escalated to Tier 2,Agent-Driven DSAT,Unprofessional Tone
C0046,2026-02-12,Chat,Agent F,NA Email,Online Store,1,Support process is confusing,"Customer: This is my third contact. Agent: Let me check your previous case. There was a business limitation, but the agent could have provided clearer alternatives and expectation setting. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Incomplete Resolution.,Resolved,No Escalation,Mixed Accountability,Incomplete Resolution
C0047,2026-03-12,Voice,Agent B,NA Email,Drone,2,Bad support experience,Customer: I need help with my Battery issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent promised a callback within 24 hours but there was no follow-up recorded. Customer: This is not helpful at all.,Potential handling issue observed: Failure to Follow Up.,Pending Customer,Escalated to Policy Team,Agent-Driven DSAT,Failure to Follow Up
C0048,2026-01-25,Email,Agent E,NA Email,Camera,1,Agent did not help me,"Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Unresolved,No Escalation,Agent-Driven DSAT,Weak Probing
C0049,2026-02-22,Voice,Agent E,APAC Chat,Battery,2,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was frustrated because the product failed after normal use. The agent followed the troubleshooting flow correctly. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Product Issue.,Pending Customer,Escalated to Tier 2,Non-Agent-Driven DSAT,Product Issue
C0050,2026-03-23,Voice,Agent D,Repair Voice,Camera,1,Agent did not help me,Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The customer repeatedly expressed frustration but the agent responded with generic scripted lines and did not acknowledge the inconvenience. Customer: This is not helpful at all.,Potential handling issue observed: Lack of Empathy.,Escalated,Escalated to Policy Team,Agent-Driven DSAT,Lack of Empathy
C0051,2026-03-30,Voice,Agent D,APAC Chat,Gimbal,2,Policy is unfair,"Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The agent explained that the warranty period had expired and offered the correct paid repair option, but the customer disagreed with the policy. Customer: I still do not agree with this outcome.",Agent followed process. Main driver appears to be Policy Limitation.,Escalated,Escalated to Policy Team,Non-Agent-Driven DSAT,Policy Limitation
C0052,2026-03-01,Chat,Agent E,NA Chat,Online Store,2,Support process is confusing,"Customer: This is my third contact. Agent: Let me check your previous case. There was a business limitation, but the agent could have provided clearer alternatives and expectation setting. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Incomplete Resolution.,Escalated,Escalated to Policy Team,Mixed Accountability,Incomplete Resolution
C0053,2026-03-24,Voice,Agent B,Repair Voice,Drone,2,Very poor service,Customer: I need help with my Repair Service issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent responded in a dismissive manner and closed the interaction quickly. Customer: This is not helpful at all.,Potential handling issue observed: Unprofessional Tone.,Resolved,Escalated to Policy Team,Agent-Driven DSAT,Unprofessional Tone
C0054,2026-01-19,Email,Agent B,NA Email,Battery,2,No stock available,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Pending Customer,Escalated to Tier 2,Non-Agent-Driven DSAT,Repair Delay
C0055,2026-01-25,Chat,Agent C,APAC Chat,Gimbal,2,Support process is confusing,"Customer: This is my third contact. Agent: Let me check your previous case. The current agent handled the concern properly, but a previous promised callback was missed, causing continued dissatisfaction. Customer: I need a clear answer today. Agent: I will escalate this, but the timeline is not very clear.",Mixed issue: process factor plus coaching opportunity around Previous Case Issue.,Escalated,Escalated to Policy Team,Mixed Accountability,Previous Case Issue
C0056,2026-03-07,Email,Agent A,APAC Chat,Battery,1,Very poor service,Customer: I need help with my Drone issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent responded in a dismissive manner and closed the interaction quickly. Customer: This is not helpful at all.,Potential handling issue observed: Unprofessional Tone.,Resolved,No Escalation,Agent-Driven DSAT,Unprofessional Tone
C0057,2026-01-17,Email,Agent F,APAC Chat,Drone,1,Product issue not solved,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was frustrated because the product failed after normal use. The agent followed the troubleshooting flow correctly. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Product Issue.,Resolved,No Escalation,Non-Agent-Driven DSAT,Product Issue
C0058,2026-03-08,Chat,Agent E,APAC Chat,Gimbal,2,Price is too high,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Resolved,Escalated to Policy Team,Non-Agent-Driven DSAT,Repair Delay
C0059,2026-03-08,Voice,Agent A,APAC Chat,Battery,1,Bad support experience,Customer: I need help with my Repair Service issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent responded in a dismissive manner and closed the interaction quickly. Customer: This is not helpful at all.,Potential handling issue observed: Unprofessional Tone.,Pending Customer,Escalated to Policy Team,Agent-Driven DSAT,Unprofessional Tone
C0060,2026-03-07,Chat,Agent B,Repair Voice,Repair Service,1,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Escalated,Escalated to Policy Team,Non-Agent-Driven DSAT,Repair Delay
C0061,2026-02-19,Chat,Agent B,NA Email,Gimbal,2,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The repair center backlog caused a long waiting time. The agent checked the case and provided the latest available update. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Repair Delay.,Pending Backend,Escalated to Tier 2,Non-Agent-Driven DSAT,Repair Delay
C0062,2026-01-14,Voice,Agent E,NA Email,Battery,1,Very poor service,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent responded in a dismissive manner and closed the interaction quickly. Customer: This is not helpful at all.,Potential handling issue observed: Unprofessional Tone.,Pending Customer,No Escalation,Agent-Driven DSAT,Unprofessional Tone
C0063,2026-03-19,Chat,Agent F,APAC Chat,Camera,1,Wrong information given,"Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent advised the customer that a free replacement was available, but the policy does not support replacement for this scenario. Customer: This is not helpful at all.",Potential handling issue observed: Incorrect Information.,Escalated,No Escalation,Agent-Driven DSAT,Incorrect Information
C0064,2026-03-15,Voice,Agent F,Repair Voice,Camera,1,Poor,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Unresolved,Escalated to Policy Team,Needs QA Validation,Insufficient Information
C0065,2026-01-23,Email,Agent C,Repair Voice,Drone,2,Too much delay,"Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The agent explained that the warranty period had expired and offered the correct paid repair option, but the customer disagreed with the policy. Customer: I still do not agree with this outcome.",Agent followed process. Main driver appears to be Policy Limitation.,Unresolved,Escalated to Policy Team,Non-Agent-Driven DSAT,Policy Limitation
C0066,2026-02-26,Voice,Agent E,APAC Chat,Drone,2,Too much delay,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. Replacement stock was not available. The agent explained the situation and offered to notify the customer once available. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Stock Unavailability.,Unresolved,Escalated to Repair Center,Non-Agent-Driven DSAT,Stock Unavailability
C0067,2026-03-11,Chat,Agent D,APAC Chat,Repair Service,2,I felt ignored,Customer: I need help with my Camera issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The customer repeatedly expressed frustration but the agent responded with generic scripted lines and did not acknowledge the inconvenience. Customer: This is not helpful at all.,Potential handling issue observed: Lack of Empathy.,Pending Backend,Escalated to Policy Team,Agent-Driven DSAT,Lack of Empathy
C0068,2026-03-19,Voice,Agent A,APAC Chat,Gimbal,1,Very poor service,"Customer: I need help with my Gimbal issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The agent did not ask for the serial number, order number, or troubleshooting results before providing a conclusion. Customer: This is not helpful at all.",Potential handling issue observed: Weak Probing.,Pending Customer,Escalated to Policy Team,Agent-Driven DSAT,Weak Probing
C0069,2026-03-22,Voice,Agent E,NA Chat,Drone,1,No comment,Customer: Not satisfied. Agent: Thank you for contacting support.,Insufficient context to validate agent accountability.,Resolved,Escalated to Repair Center,Needs QA Validation,Insufficient Information
C0070,2026-03-12,Email,Agent F,NA Chat,Drone,1,Wrong information given,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The customer repeatedly expressed frustration but the agent responded with generic scripted lines and did not acknowledge the inconvenience. Customer: This is not helpful at all.,Potential handling issue observed: Lack of Empathy.,Escalated,Escalated to Policy Team,Agent-Driven DSAT,Lack of Empathy
C0071,2026-01-04,Voice,Agent D,NA Chat,Gimbal,1,Bad support experience,Customer: I need help with my Online Store issue and I am already frustrated. Agent: Please wait. Customer: I have explained this twice already. Agent: Kindly check the website. The customer repeatedly expressed frustration but the agent responded with generic scripted lines and did not acknowledge the inconvenience. Customer: This is not helpful at all.,Potential handling issue observed: Lack of Empathy.,Pending Backend,Escalated to Tier 2,Agent-Driven DSAT,Lack of Empathy
C0072,2026-01-06,Chat,Agent C,Repair Voice,Online Store,2,Policy is unfair,Customer: I am unhappy with this situation. Agent: I understand the inconvenience and I will check the available options. The customer was unhappy about an additional import fee/tariff. The agent explained that the charge was outside support control. Customer: I still do not agree with this outcome.,Agent followed process. Main driver appears to be Pricing or Tariff Concern.,Escalated,Escalated to Tier 2,Non-Agent-Driven DSAT,Pricing or Tariff Concern
